species,iucn_status,year,risk.wt
betulinus,LC,2013,0
bewickensis,NT,2008,0.2
bibroni,LC,2012,0
bicinctus,LC,2014,0
bickelli,LC,2015,0
bicoarctatus,LC,2016,0
bicolor,LC,2014,0
bicuspidatus,LC,2011,0
bifrons,VU,2008,0.4
bikolanus,LC,2012,0
bilineatus,LC,2014,0
billardierei,LC,2015,0
bilunulatus,LC,2010,0
bimacula,LC,2016,0
bimaculatus,LC,2010,0
binotatus,LC,2012,0
biocellatus,LC,2012,0
bipartita,VU,2014,0.4
bipinnulata,LC,2015,0
bipunctata,LC,2013,0
biramulata,VU,2010,0.4
bispinosa,LC,2010,0
bleekeri,LC,2012,0
blochii,LC,2012,0
bocourti,EN,2010,0.6
bodoi,LC,2011,0
boenak,LC,2008,0
boettgeri,LC,2014,0
boholensis,LC,2013,0
boreus,LC,2010,0
botche,LC,2016,0
boucheti,LC,2013,0
bouletii,CR,2015,0.8
boulinda,VU,2011,0.4
boureei,LC,2015,0
bouvieri,LC,2013,0
bowerbanki,VU,2008,0.4
brachycentron,LC,2012,0
brachycephalus,LC,2015,0
brachychirus,LC,2010,0
brachylepis,LC,2014,0
brachysoma,LC,2015,0
brachyurus,LC,2013,0
bredanensis,LC,2012,0
breviceps,LC,2014,0
brevicornis,LC,2011,0
brevipes,NT,2014,0.2
brevirostris,LC,2015,0
brevis,LC,2014,0
brevispinum,EN,2010,0.6
brevistyla,LC,2013,0
brocki,LC,2016,0
bruuni,LC,2013,0
bullatus,LC,2013,0
bulleri,VU,2012,0.4
bushyensis,LC,2008,0
cactus,VU,2014,0.4
caerulaurea,LC,2010,0
caerulea,LC,2010,0
caeruleopunctatus,LC,2010,0
caerulescens,LC,2015,0
caesius,LC,2012,0
calcarata,LC,2015,0
calcicola,EN,2010,0.6
caledonica,LC,2013,0
caledonicum,LC,2013,0
caledonicus,LC,2012,0
caliculata,VU,2014,0.4
caliendrum,NT,2014,0.2
callisterna,LC,2014,0
campioni,LC,2009,0
canadum,LC,2015,0
canina,LC,2015,0
canonicus,LC,2013,0
capensis,LC,2015,0
capillus-veneris,LC,2013,0
capitanellus,LC,2013,0
capitaneus,LC,2013,0
capitata,NT,2008,0.2
capricorni,LC,2010,0
capricornis,VU,2008,0.4
capros,LC,2015,0
carbo,LC,2012,0
carcharias,VU,2009,0.4
cardinalis,LC,2012,0
carduus,NT,2008,0.2
caretta,VU,2015,0.4
carnosa,CR,2014,0.8
caroliniana,VU,2008,0.4
carolinus,LC,2012,0
caseolaris,LC,2010,0
castaneus,LC,2014,0
catalai,NT,2008,0.2
cathartes,VU,2011,0.4
catus,LC,2013,0
caudacutus,LC,2012,0
caudimaculatum,LC,2016,0
caudispinosus,LC,2015,0
caudofasciatus,LC,2014,0
caudolineata,LC,2014,0
cavirostris,LC,2008,0
cebuensis,VU,2008,0.4
celebicus,LC,2010,0
cenchroides,LC,2012,0
cephalus,LC,2012,0
cerealis,LC,2014,0
cerulea,LC,2014,0
cervicalis,VU,2012,0.4
cervus,LC,2013,0
chahoua,VU,2011,0.4
chalcidicum,LC,2014,0
chaldaeus,LC,2013,0
chameleon,LC,2012,0
chani,LC,2011,0
chazeaui,EN,2011,0.6
chelomatus,LC,2014,0
cherrieri,VU,2010,0.4
cherrieri,EN,2010,0.6
cherrieri,CR,2010,0.8
chesterfieldensis,LC,2008,0
chevalieri,CR,2010,0.8
chiangi,LC,2013,0
chinensis,LC,2015,0
chloe,LC,2012,0
chloronotus,LC,2013,0
chlorostigma,LC,2008,0
chlorourus,LC,2010,0
choati,LC,2010,0
chryseres,LC,2016,0
chrysosoma,LC,2012,0
chrysospilos,LC,2014,0
chrysostomus,LC,2010,0
chrysus,LC,2010,0
chuni,LC,2015,0
ciliaris,LC,2010,0
ciliatus,VU,2011,0.4
cinerascens,LC,2015,0
cinerea,LC,2012,0
cinereus,LC,2013,0
circumactus,LC,2013,0
citrinellus,LC,2010,0
clathrata,LC,2008,0
claudia,LC,2010,0
clavus,LC,2014,0
coccifer,LC,2011,0
coccineus,LC,2013,0
cochlea,LC,2008,0
cocosensis,VU,2008,0.4
coelinae,LC,2013,0
coerulea,VU,2008,0.4
coeruleoalba,LC,2008,0
coeruleopunctatus,LC,2008,0
coffeae,LC,2013,0
coggeri,LC,2010,0
colini,LC,2010,0
coluber,LC,2013,0
colubrina,LC,2010,0
columna,LC,2014,0
columna,NT,2014,0.2
columnaris,LC,2010,0
comatosa,LC,2013,0
commerson,NT,2011,0.2
complanata,NT,2008,0.2
compressa,LC,2014,0
compressus,LC,2015,0
comptonii,NT,2015,0.2
concinna,LC,2014,0
concinnus,LC,2009,0
concolor,NT,2015,0.2
conjugatus,EN,2010,0.6
consors,LC,2013,0
conspicillatus,LC,2012,0
contigua,NT,2014,0.2
contorta,LC,2008,0
copei,LC,2015,0
cora,LC,2013,0
coralium,LC,2011,0
corallinus,LC,2013,0
corbettensis,VU,2008,0.4
coriacea,VU,2013,0.4
cornuta,LC,2015,0
cornutum,LC,2016,0
cornutus,VU,2013,0.4
corona,LC,2011,0
coronatus,LC,2013,0
corymbosa,LC,2014,0
couesii,LC,2015,0
crassa,NT,2008,0.2
crassa,LC,2008,0
crassiceps,LC,2015,0
crassilabris,LC,2010,0
crassipes,LC,2015,0
crassituberculata,VU,2008,0.4
crateriformis,VU,2008,0.4
crenata,VU,2010,0.4
crenilabis,LC,2012,0
crispa,NT,2014,0.2
cristagalli,CR,2015,0.8
cristata,VU,2014,0.4
cristatus,LC,2015,0
crocatus,LC,2013,0
crocodilus,LC,2015,0
crosseana,CR,2011,0.8
cruentatus,LC,2015,0
crumenophthalmus,LC,2015,0
crustacea,LC,2014,0
cryptus,LC,2010,0
cucullata,VU,2008,0.4
cuneata,VU,2014,0.4
curta,LC,2014,0
curvata,VU,2008,0.4
curvirostris,LC,2015,0
cuvier,NT,2009,0.2
cuvieri,LC,2015,0
cyanocheilus,LC,2012,0
cyanophrys,LC,2015,0
cyanopodus,LC,2008,0
cyanopterus,LC,2015,0
cyclolites,LC,2014,0
cylindraceus,LC,2013,0
cylindriatus,LC,2010,0
cylindrica,NT,2014,0.2
cylindrica,LC,2014,0
cymosa,LC,2013,0
cytherea,LC,2008,0
dactylatra,LC,2015,0
daedalea,LC,2014,0
daenikeri,EN,2010,0.6
dalgleishi,LC,2015,0
damicornis,LC,2014,0
danae,LC,2015,0
darkini,LC,2013,0
darwinii,LC,2015,0
davidsonii,EN,2015,0.6
daviesi,LC,2015,0
dayriti,LC,2013,0
decadactylus,LC,2015,0
decadia,LC,2008,0
decipiens,LC,2010,0
decumbens,CR,2010,0.8
decussata,VU,2014,0.4
decussatus,LC,2014,0
deforgesi,LC,2006,0
deformis,NT,2008,0.2
delicatulus,LC,2014,0
delphis,LC,2008,0
dendrum,VU,2008,0.4
densa,NT,2014,0.2
dentata,LC,2014,0
dentex,LC,2015,0
deplancheana,NT,2015,0.2
deplanchei,NT,2011,0.2
desolata,LC,2012,0
deverdiana,VU,2010,0.4
devisi,LC,2010,0
diacanthus,LC,2016,0
diadema,LC,2016,0
dianthus,LC,2015,0
diaphana,LC,2014,0
dichotoma,LC,2014,0
dictynna,LC,2010,0
diemenensis,LC,2012,0
difficilis,LC,2013,0
diffusa,LC,2013,0
digitata,NT,2014,0.2
digitifera,NT,2014,0.2
digramma,LC,2010,0
dimidiatus,LC,2012,0
diminuta,VU,2008,0.4
dispar,LC,2012,0
distans,LC,2013,0
distofax,LC,2015,0
ditrema,LC,2014,0
divaricata,NT,2008,0.2
djiboutiensis,LC,2014,0
doliatus,LC,2010,0
donei,VU,2008,0.4
dorsomacula,LC,2010,0
dougallii,LC,2015,0
draco,LC,2015,0
duboisii,LC,2010,0
ductor,LC,2015,0
duerdeni,LC,2014,0
dugon,VU,2015,0.4
dumerili,LC,2015,0
dumerilii,LC,2016,0
dunckeri,LC,2016,0
dusaveli,LC,2013,0
dussumieri,LC,2014,0
ebracteata,NT,2015,0.2
ebraeus,LC,2013,0
eburneus,LC,2013,0
echinata,LC,2014,0
echinatus,LC,2008,0
echinites,VU,2013,0.4
echinulata,VU,2008,0.4
edentulus,LC,2014,0
edulis,LC,2013,0
edwardsi,LC,2014,0
efflorescens,NT,2014,0.2
effulgens,LC,2015,0
effusa,NT,2008,0.2
elatum,VU,2010,0.4
electra,LC,2008,0
elegans,LC,2014,0
elegantissima,EN,2015,0.6
elephantotus,LC,2014,0
elongata,NT,2015,0.2
elongatum,LC,2015,0
elseyi,LC,2008,0
elsmani,LC,2015,0
elymus,LC,2010,0
emaciatus,LC,2013,0
emarginata,VU,2015,0.4
emiliana,NT,2015,0.2
enneacanthus,LC,2010,0
ensifer,LC,2016,0
enthrix,LC,2011,0
ephippium,LC,2010,0
epilampra,LC,2014,0
episcopatus,LC,2013,0
epomophora,VU,2012,0.4
equidens,LC,2013,0
equiselis,LC,2011,0
equulus,LC,2012,0
ericoides,NT,2010,0.2
erinaceaus,LC,2013,0
esculenta,LC,2015,0
eugenioides,EN,2010,0.6
euryotis,EN,2010,0.6
evanidus,LC,2010,0
exaesa,LC,2014,0
excelsus,LC,2013,0
excisus,LC,2016,0
exesa,NT,2014,0.2
exiguus,LC,2013,0
exos,CR,2011,0.8
expansa,NT,2008,0.2
explanata,LC,2014,0
explanulata,LC,2014,0
exsuccida,EN,2010,0.6
exul,CR,2014,0.8
eydouxi,NT,2014,0.2
eydouxii,LC,2015,0
faguetii,LC,2010,0
falciformis,NT,2009,0.2
falcinellus,LC,2015,0
falco,LC,2016,0
fasciata,LC,2012,0
fasciatus,LC,2014,0
fascicularis,NT,2014,0.2
fasciola,LC,2015,0
favieri,CR,2015,0.8
favulus,NT,2008,0.2
favus,LC,2014,0
femininus,LC,2010,0
fenestrata,VU,2014,0.4
ferox,VU,2016,0.4
ferruginea,NT,2015,0.2
ferrugineus,LC,2013,0
ferruginoides,LC,2010,0
festivus,LC,2015,0
fidelis,LC,2009,0
figulinus,LC,2013,0
fijiense,LC,2010,0
filamentosus,LC,2012,0
firmamentum,LC,2014,0
fisheri,LC,2010,0
flabelliformis,LC,2012,0
flagellifer,LC,2010,0
flammea,LC,2013,0
flavescens,LC,2013,0
flavidus,LC,2013,0
flavifrons,LC,2010,0
flavipectoralis,LC,2012,0
flavipinnis,LC,2010,0
flavirostris,LC,2010,0
flavissima,LC,2010,0
flavissimus,LC,2010,0
flaviventris,LC,2012,0
flavobrunneum,LC,2015,0
flavoccipitis,LC,2014,0
flavolateralis,LC,2012,0
flavomaculata,LC,2013,0
flexuosa,NT,2014,0.2
floccatus,LC,2013,0
floribunda,LC,2011,0
florida,NT,2014,0.2
floridulus,LC,2013,0
floweri,LC,2014,0
foliosa,LC,2014,0
foliosa,NT,2014,0.2
forbesi,LC,2008,0
formosa,NT,2014,0.2
forsteni,LC,2012,0
forsteri,LC,2016,0
fourmanoiri,LC,2014,0
foveolata,NT,2014,0.2
fraenatum,LC,2010,0
fragilis,LC,2015,0
frenatus,LC,2012,0
frigidus,LC,2013,0
frondens,LC,2008,0
frontalis,LC,2012,0
fronticinctus,LC,2016,0
fruticosa,LC,2014,0
fuliginosa,EN,2012,0.6
fuliginosa,LC,2012,0
fulva,LC,2012,0
fungites,NT,2014,0.2
furcata,LC,2008,0
furcatus,LC,2015,0
fusca,LC,2012,0
fuscatus,LC,2015,0
fuscocinerea,LC,2013,0
fuscogilva,VU,2013,0.4
fuscoguttatus,LC,2010,0
fuscopunctata,LC,2013,0
gabriellae,LC,2015,0
gaimard,LC,2010,0
galacticus,LC,2011,0
galatheae,LC,2015,0
galil,LC,2011,0
gardineri,LC,2014,0
garmani,LC,2015,0
garnieri,LC,2011,0
garrulus,EN,2011,0.6
gascoynei,LC,2010,0
gatopense,VU,2010,0.4
geitaina,NT,2010,0.2
gelatinosus,LC,2015,0
gemellarii,LC,2015,0
gemmacea,LC,2008,0
gemmae,NT,2008,0.2
gemmifera,LC,2014,0
generalis,LC,2013,0
genivittatus,LC,2010,0
geoffroyi,NT,2008,0.2
geographus,LC,2013,0
germaini,LC,2014,0
gibba,LC,2014,0
gibberosus,LC,2011,0
gibbosus,LC,2012,0
gigantea,LC,2008,0
giuris,LC,2012,0
glabra,LC,2014,0
glabrescens,NT,2014,0.2
gladius,LC,2016,0
glans,LC,2013,0
glauca,NT,2009,0.2
glesne,LC,2015,0
globiceps,LC,2015,0
globosa,LC,2013,0
gnidioides,NT,2010,0.2
godeffroyi,LC,2010,0
goliath,NT,2012,0.2
gomoni,LC,2010,0
gondwanensis,LC,2013,0
gongrocarpum,LC,2015,0
goroensis,EN,2011,0.6
gorotitei,CR,2011,0.8
gracilirostre,LC,2013,0
gracilis,LC,2015,0
graeffei,LC,2013,0
graminea,LC,2013,0
grammoptilus,LC,2012,0
granatum,LC,2010,0
grandimanus,LC,2013,0
grandis,LC,2015,0
granulosa,NT,2014,0.2
granulosa,LC,2014,0
granum,LC,2013,0
graphicus,LC,2010,0
grayi,LC,2016,0
greeri,EN,2011,0.6
greyi,LC,2012,0
grimaldii,LC,2015,0
grisea,LC,2014,0
griseus,LC,2012,0
groenlandicus,LC,2015,0
gronovii,LC,2015,0
grossecrenatum,EN,2010,0.6
guamensis,LC,2012,0
guentheri,LC,2015,0
guerinii,LC,2012,0
guillainii,VU,2010,0.4
guillauminii,CR,2010,0.8
guttatus,LC,2014,0
gymnauchen,LC,2014,0
gymnorhiza,LC,2010,0
gyrinoides,LC,2012,0
haematodus,LC,2014,0
haematopterus,LC,2016,0
haimeana,LC,2014,0
haliaetus,LC,2015,0
halicora,NT,2014,0.2
halsteadi,LC,2010,0
hanchisteus,CR,2010,0.8
haplochrous,NT,2012,0.2
haplorhinus,LC,2011,0
haraldmeieri,CR,2010,0.8
hardwicke,LC,2010,0
hartzfeldii,LC,2010,0
hassi,VU,2008,0.4
hataii,LC,2014,0
hawaiiensis,LC,2014,0
helenae,LC,2014,0
helianthoides,NT,2014,0.2
heliopora,NT,2014,0.2
helleri,LC,2011,0
hemigymnus,LC,2010,0
hemimelas,LC,2014,0
hemistictus,LC,2016,0
hemprichii,LC,2014,0
hepatus,LC,2012,0
heraldi,LC,2010,0
heraldica,LC,2012,0
heronensis,LC,2008,0
herrmanni,VU,2013,0.4
heterocheilos,LC,2012,0
heterolepis,LC,2015,0
heterotricha,VU,2015,0.4
heterurus,LC,2015,0
hexacanthus,LC,2012,0
hexagonalis,LC,2014,0
hexagonatus,LC,2008,0
hexataenia,LC,2010,0
hians,LC,2015,0
hilla,LC,2013,0
hillae,NT,2014,0.2
hippurus,LC,2011,0
hirsutissima,LC,2008,0
hirsutus,LC,2010,0
hirundo,LC,2015,0
hispida,LC,2008,0
hispidus,LC,2014,0
histrio,LC,2015,0
histrix,VU,2012,0.4
hjorti,LC,2015,0
hoffmeisteri,LC,2014,0
holboelli,LC,2015,0
holocanthus,LC,2015,0
hololepis,LC,2015,0
holomelas,LC,2014,0
holosericea,NT,2012,0.2
homarus,LC,2011,0
homei,LC,2015,0
horizontalata,VU,2014,0.4
horrescens,LC,2014,0
horrida,LC,2014,0
hortulanus,LC,2010,0
howelli,LC,2013,0
howlandi,LC,2008,0
hudsoni,LC,2014,0
hugonis,EN,2010,0.6
humboldtensis,EN,2010,0.6
humectus,EN,2011,0.6
humilis,NT,2014,0.2
hyacinthus,NT,2008,0.2
hyalosoma,LC,2012,0
hydrophylacea,LC,2010,0
hygomii,LC,2015,0
hyoproroides,LC,2015,0
hypoleucos,LC,2012,0
hypomelas,LC,2015,0
hypselogeneion,LC,2014,0
hystrix,LC,2015,0
ibis,LC,2015,0
ichinoseana,LC,2013,0
imitatrix,LC,2013,0
immaculatus,LC,2014,0
impavida,VU,2012,0.4
imperator,LC,2010,0
imperialis,LC,2015,0
impolita,VU,2010,0.4
imus,LC,2015,0
inaequalis,NT,2008,0.2
incana,LC,2012,0
incisum,VU,2010,0.4
incrassata,NT,2008,0.2
incrustans,VU,2014,0.4
indica,LC,2015,0
indicus,LC,2015,0
inermis,LC,2010,0
inexpectatus,CR,2011,0.8
infans,LC,2015,0
informis,LC,2014,0
inhabilis,LC,2013,0
inopinata,CR,2010,0.8
inornatus,LC,2012,0
insidiator,LC,2010,0
insignis,LC,2011,0
insularis,NT,2011,0.2
intermedia,LC,2015,0
intermedius,LC,2014,0
interpres,LC,2012,0
interrupta,LC,2012,0
intricata,LC,2008,0
inventorum,CR,2010,0.8
ione,LC,2013,0
iota,LC,2016,0
ishigakiensis,VU,2014,0.4
isoetifolium,LC,2010,0
isos,LC,2014,0
isuga,LC,2013,0
ittodai,LC,2016,0
janthinoptera,LC,2014,0
janthinosoma,LC,2016,0
japonicus,LC,2016,0
jardinei,VU,2008,0.4
jayakari,LC,2015,0
jordani,LC,2015,0
jubatus,EN,2013,0.6
kaaea,LC,2012,0
kaala,CR,2011,0.8
kaalaensis,CR,2011,0.8
kaianus,LC,2016,0
kanakinus,LC,2013,0
kerberti,LC,2015,0
kimioi,LC,2013,0
kirstyae,VU,2008,0.4
kitanoviriosus,LC,2011,0
kleinii,LC,2010,0
koniambo,CR,2011,0.8
kraussii,LC,2014,0
kreffti,LC,2015,0
kuda,VU,2014,0.4
kuiteri,LC,2010,0
kulbickii,LC,2014,0
kuntee,LC,2016,0
kuroharai,LC,2013,0
laboutei,LC,2010,0
lacera,LC,2008,0
lacinia,CR,2011,0.8
lacrymalis,NT,2008,0.2
lactuca,VU,2008,0.4
laddi,VU,2014,0.4
laevis,LC,2015,0
lafresnayanus,CR,2013,0.8
lagocephalus,LC,2014,0
lalandi,LC,2015,0
lamberti,LC,2013,0
lamellina,NT,2008,0.2
lamellosa,LC,2014,0
lanceolata,LC,2015,0
lanceolatus,LC,2015,0
lapponica,NT,2015,0.2
lar,LC,2013,0
lateralis,LC,2012,0
laticaudata,LC,2010,0
latistella,LC,2008,0
laubenfelsii,NT,2010,0.2
laudandus,LC,2014,0
laxa,NT,2008,0.2
leachianus,LC,2011,0
legatus,LC,2013,0
leiaspis,LC,2016,0
leopardus,LC,2013,0
lepros,LC,2016,0
leptophylla,LC,2015,0
lepturus,LC,2015,0
leratiorum,VU,2010,0.4
leschenaultii,LC,2012,0
lessoni,EN,2013,0.6
leucas,NT,2009,0.2
leucogaster,LC,2015,0
leucogrammicus,LC,2008,0
leucopareius,LC,2012,0
leucoptera,VU,2015,0.4
leucopyga,LC,2012,0
leucorynchus,LC,2012,0
leucospilota,LC,2013,0
levistomatus,LC,2015,0
lewini,EN,2007,0.6
lichen,LC,2014,0
lichtensteini,VU,2014,0.4
lienardi,LC,2013,0
lima,LC,2016,0
limax,LC,2014,0
limosa,NT,2015,0.2
lineatum,LC,2015,0
lineatus,LC,2015,0
lineolatus,LC,2010,0
lischkeanus,LC,2013,0
listeri,VU,2014,0.4
listeri,LC,2014,0
litoglyphus,LC,2013,0
litteratus,LC,2013,0
littoralis,LC,2010,0
littorea,LC,2010,0
lituratus,LC,2012,0
lividus,LC,2013,0
lizardensis,NT,2008,0.2
lobata,NT,2014,0.2
loewii,LC,2013,0
lokani,VU,2008,0.4
longefoliolatus,EN,2010,0.6
longibarbatus,LC,2015,0
longicaudus,LC,2012,0
longicephalus,LC,2015,0
longiceps,LC,2012,0
longicyathus,LC,2008,0
longifilis,LC,2015,0
longimanus,VU,2015,0.4
longimembris,LC,2012,0
longipes,LC,2015,0
longipinnis,LC,2012,0
longirostris,LC,2016,0
longirostris,VU,2016,0.4
longisepta,NT,2008,0.2
lopezi,LC,2012,0
lordhowensis,NT,2008,0.2
loricata,LC,2015,0
loricula,LC,2010,0
loripes,NT,2014,0.2
lotoides,VU,2010,0.4
louti,LC,2008,0
lovelli,VU,2014,0.4
lowei,LC,2016,0
lowii,LC,2015,0
loxozonus,LC,2010,0
loyaltiensis,LC,2013,0
luciae,LC,2013,0
lucidus,LC,2015,0
lucienii,LC,2010,0
lucifer,LC,2009,0
luetkeni,LC,2015,0
lugubris,LC,2015,0
luminosa,LC,2015,0
lunare,LC,2010,0
lunifer,LC,2015,0
lunula,LC,2010,0
lunulata,LC,2010,0
lunulatus,LC,2010,0
lupus,LC,2014,0
lutea,LC,2014,0
lutescens,LC,2010,0
lutkeni,NT,2014,0.2
luxurians,EN,2010,0.6
lycopodioides,NT,2010,0.2
macarellus,LC,2015,0
macdowelli,LC,2010,0
macrocephalus,LC,2010,0
macrochir,LC,2015,0
macrolepidotus,LC,2015,0
macrolepis,LC,2012,0
macrospilos,LC,2008,0
macrospilus,LC,2010,0
macrostoma,NT,2008,0.2
macrura,LC,2015,0
macrurus,LC,2015,0
maculata,LC,2015,0
maculatus,LC,2012,0
maculisparsa,VU,2013,0.4
maderensis,LC,2015,0
madjo,NT,2011,0.2
magnifica,LC,2010,0
magnirostris,NT,2014,0.2
magnistellata,NT,2014,0.2
magus,LC,2013,0
major,LC,2010,0
malabaricus,NT,2006,0.2
maldivensis,LC,2014,0
mammiformis,NT,2008,0.2
manautei,CR,2011,0.8
mancaoi,LC,2008,0
mancus,LC,2010,0
manilensis,LC,2014,0
mappa,LC,2014,0
mareensis,CR,2015,0.8
margaretae,EN,2015,0.6
margaritacea,LC,2012,0
margaritaceus,LC,2010,0
margaritiferus,LC,2010,0
marginata,LC,2012,0
marginatus,LC,2010,0
mariapetrae,VU,2011,0.4
mariei,LC,2012,0
marina,LC,2010,0
marionensis,VU,2008,0.4
mariscus,LC,2013,0
maritima,NT,2014,0.2
marmorata,LC,2014,0
marmoreus,LC,2013,0
martensii,LC,2011,0
maruia,EN,2011,0.6
masudai,LC,2010,0
mata,LC,2012,0
matthaii,NT,2014,0.2
mauritiana,VU,2013,0.4
maximum,LC,2011,0
mayeri,LC,2014,0
meandrina,LC,2014,0
megalops,LC,2015,0
melannotus,LC,2010,0
melanoasper,LC,2016,0
melanocephalus,LC,2016,0
melanoleucos,LC,2012,0
melanops,LC,2015,0
melanopterus,NT,2009,0.2
melanosoma,LC,2012,0
melanospilos,LC,2016,0
melanurus,LC,2010,0
melapterus,LC,2010,0
meleagris,LC,2014,0
melinopterus,LC,2012,0
memiae,LC,2013,0
merleti,LC,2008,0
merra,LC,2008,0
mertensii,LC,2010,0
mertoni,LC,2012,0
mesenterina,VU,2014,0.4
mesothorax,LC,2010,0
metallicus,LC,2015,0
metopoclampus,LC,2015,0
meyeni,VU,2015,0.4
meyeri,LC,2010,0
michaelsarsi,LC,2015,0
micrantha,NT,2013,0.2
microclados,VU,2008,0.4
microconos,NT,2014,0.2
microdon,LC,2015,0
microphthalma,LC,2014,0
microprion,LC,2008,0
microps,LC,2013,0
microrhinos,LC,2012,0
microstomus,LC,2010,0
midas,LC,2014,0
miles,LC,2013,0
miliaris,VU,2013,0.4
miliaris,LC,2013,0
millepora,NT,2014,0.2
miniata,LC,2008,0
miniatus,LC,2010,0
minima,LC,2011,0
minimifolia,NT,2010,0.2
minimus,LC,2015,0
minor,NT,2014,0.2
minor,LC,2014,0
minus,EN,2010,0.6
minuta,NT,2014,0.2
minutus,LC,2015,0
miops,LC,2012,0
