rgn_id, Species Name,Year,Average Weight (kg)
1,GREAT BARRACUDA,2013,5.154545
1,GREAT BARRACUDA,2012,5.104511
1,GREAT BARRACUDA,2011,6.010795
1,GREAT HAMMERHEAD,2015,No Data
1,GREAT HAMMERHEAD,2014,No Data
1,GREAT HAMMERHEAD,2013,20.000000
1,GREAT HAMMERHEAD,2012,No Data
1,GREAT HAMMERHEAD,2011,No Data
1,GREATER AMBERJACK,2015,No Data
1,GREATER AMBERJACK,2014,13.700000
1,GREATER AMBERJACK,2013,17.166666
1,GREATER AMBERJACK,2012,No Data
1,GREATER AMBERJACK,2011,20.900000
1,GREEN TURTLE,2015,No Data
1,GREEN TURTLE,2014,10.000000
1,GREEN TURTLE,2013,No Data
1,GREEN TURTLE,2012,No Data
1,GREEN TURTLE,2011,No Data
1,GREY REEF SHARK,2015,61.800000
1,GREY REEF SHARK,2014,61.800000
1,GREY REEF SHARK,2013,129.300000
1,GREY REEF SHARK,2012,68.533333
1,GREY REEF SHARK,2011,61.800000
1,HAWKSBILL TURTLE,2015,No Data
1,HAWKSBILL TURTLE,2014,No Data
1,HAWKSBILL TURTLE,2013,No Data
1,HAWKSBILL TURTLE,2012,No Data
1,HAWKSBILL TURTLE,2011,10.000000
1,LONG FINNED MAKO SHARK,2015,No Data
1,LONG FINNED MAKO SHARK,2014,No Data
1,LONG FINNED MAKO SHARK,2013,No Data
1,LONG FINNED MAKO SHARK,2012,73.100000
1,LONG FINNED MAKO SHARK,2011,79.966666
1,LONGSNOUTED LANCETFISH,2015,1.201503
1,LONGSNOUTED LANCETFISH,2014,1.179851
1,LONGSNOUTED LANCETFISH,2013,1.195487
1,LONGSNOUTED LANCETFISH,2012,1.183254
1,LONGSNOUTED LANCETFISH,2011,1.197081
1,MAHI MAHI / DOLPHINFISH / DORADO,2015,7.925786
1,MAHI MAHI / DOLPHINFISH / DORADO,2014,7.425207
1,MAHI MAHI / DOLPHINFISH / DORADO,2013,7.189981
1,MAHI MAHI / DOLPHINFISH / DORADO,2012,7.887071
1,MAHI MAHI / DOLPHINFISH / DORADO,2011,8.528401
1,Melon-headed whale,2015,100.000000
1,Melon-headed whale,2014,No Data
1,Melon-headed whale,2013,No Data
1,Melon-headed whale,2012,No Data
1,Melon-headed whale,2011,No Data
1,OCEAN SUNFISH,2015,No Data
1,OCEAN SUNFISH,2014,No Data
1,OCEAN SUNFISH,2013,No Data
1,OCEAN SUNFISH,2012,159.700000
1,OCEAN SUNFISH,2011,No Data
1,OCEANIC WHITE-TIP SHARK,2015,66.400000
1,OCEANIC WHITE-TIP SHARK,2014,66.400000
1,OCEANIC WHITE-TIP SHARK,2013,66.400000
1,OCEANIC WHITE-TIP SHARK,2012,74.728571
1,OCEANIC WHITE-TIP SHARK,2011,69.471428
1,OCELLATED ANGELSHARK                              ,2015,No Data
1,OCELLATED ANGELSHARK                              ,2014,No Data
1,OCELLATED ANGELSHARK                              ,2013,3.000000
1,OCELLATED ANGELSHARK                              ,2012,No Data
1,OCELLATED ANGELSHARK                              ,2011,No Data
1,OILFISH,2015,1.300000
1,OILFISH,2014,No Data
1,OILFISH,2013,5.905882
1,OILFISH,2012,No Data
1,OILFISH,2011,7.200000
1,OLIVE RIDLEY TURTLE (NEW FAO),2015,No Data
1,OLIVE RIDLEY TURTLE (NEW FAO),2014,8.000000
1,OLIVE RIDLEY TURTLE (NEW FAO),2013,No Data
1,OLIVE RIDLEY TURTLE (NEW FAO),2012,No Data
1,OLIVE RIDLEY TURTLE (NEW FAO),2011,No Data
1,OPAH / MOONFISH,2015,68.063565
1,OPAH / MOONFISH,2014,66.781951
1,OPAH / MOONFISH,2013,66.572580
1,OPAH / MOONFISH,2012,63.493506
1,OPAH / MOONFISH,2011,69.787640
1,ORANGE-SPOTTED EMPEROR,2015,No Data
1,ORANGE-SPOTTED EMPEROR,2014,No Data
1,ORANGE-SPOTTED EMPEROR,2014,No Data
1,ORANGE-SPOTTED EMPEROR,2013,No Data
1,ORANGE-SPOTTED EMPEROR,2012,No Data
1,OTHER FISH,2015,No Data
1,OTHER FISH,2014,No Data
1,OTHER FISH,2013,No Data
1,OTHER FISH,2012,No Data
1,OTHER FISH,2011,6.000000
1,PELAGIC PUFFER,2015,No Data
1,PELAGIC PUFFER,2014,3.566666
1,PELAGIC PUFFER,2013,5.550000
1,PELAGIC PUFFER,2012,1.300000
1,PELAGIC PUFFER,2011,No Data
1,PELAGIC STING-RAY,2015,6.427450
1,PELAGIC STING-RAY,2014,6.222857
1,PELAGIC STING-RAY,2013,6.653409
1,PELAGIC STING-RAY,2012,6.003703
1,PELAGIC STING-RAY,2011,6.603614
1,PELAGIC THRESHER SHARK,2015,16.400000
1,PELAGIC THRESHER SHARK,2014,16.400000
1,PELAGIC THRESHER SHARK,2013,16.400000
1,PELAGIC THRESHER SHARK,2012,16.400000
1,PELAGIC THRESHER SHARK,2011,16.400000
1,PETRELS AND PUFFINS,2015,No Data
1,PETRELS AND PUFFINS,2014,4.000000
1,PETRELS AND PUFFINS,2013,No Data
1,PETRELS AND PUFFINS,2012,No Data
1,PETRELS AND PUFFINS,2011,4.000000
1,PILOT FISH,2015,No Data
1,PILOT FISH,2014,No Data
1,PILOT FISH,2013,No Data
1,PILOT FISH,2012,No Data
1,PILOT FISH,2011,0.500000
1,POMFRETS AND OCEAN BREAMS,2015,4.700000
1,POMFRETS AND OCEAN BREAMS,2014,2.450000
1,POMFRETS AND OCEAN BREAMS,2013,No Data
1,POMFRETS AND OCEAN BREAMS,2012,4.566666
1,POMFRETS AND OCEAN BREAMS,2011,1.520000
1,PUFFERS (FAMILY),2015,No Data
1,PUFFERS (FAMILY),2014,No Data
1,PUFFERS (FAMILY),2013,No Data
1,PUFFERS (FAMILY),2012,No Data
1,PUFFERS (FAMILY),2011,4.000000
1,RAINBOW RUNNER,2015,No Data
1,RAINBOW RUNNER,2014,6.550000
1,RAINBOW RUNNER,2013,No Data
1,RAINBOW RUNNER,2012,No Data
1,RAINBOW RUNNER,2011,2.875000
1,ROUDI ESCOLAR,2015,3.000000
1,ROUDI ESCOLAR,2014,No Data
1,ROUDI ESCOLAR,2013,No Data
1,ROUDI ESCOLAR,2012,No Data
1,ROUDI ESCOLAR,2011,No Data
1,SANDBAR SHARK,2015,No Data
1,SANDBAR SHARK,2014,No Data
1,SANDBAR SHARK,2013,No Data
1,SANDBAR SHARK,2012,42.766666
1,SANDBAR SHARK,2011,44.600000
1,SARGENT MAJOR,2015,No Data
1,SARGENT MAJOR,2014,30.600000
1,SARGENT MAJOR,2013,27.866666
1,SARGENT MAJOR,2012,28.050000
1,SARGENT MAJOR,2011,No Data
1,SHARK FINS,2015,No Data
1,SHARK FINS,2014,No Data
1,SHARK FINS,2013,No Data
1,SHARK FINS,2012,4.000000
1,SHARK FINS,2011,No Data
1,SHARKS (UNIDENTIFIED),2015,No Data
1,SHARKS (UNIDENTIFIED),2014,34.800000
1,SHARKS (UNIDENTIFIED),2013,34.800000
1,SHARKS (UNIDENTIFIED),2012,No Data
1,SHARKS (UNIDENTIFIED),2011,20.350000
1,SHORT FINNED MAKO SHARK,2015,81.300000
1,SHORT FINNED MAKO SHARK,2014,81.300000
1,SHORT FINNED MAKO SHARK,2013,75.666666
1,SHORT FINNED MAKO SHARK,2012,90.089655
1,SHORT FINNED MAKO SHARK,2011,88.429032
1,SHORTSNOUTED LANCETFISH,2015,No Data
1,SHORTSNOUTED LANCETFISH,2014,No Data
1,SHORTSNOUTED LANCETFISH,2013,No Data
1,SHORTSNOUTED LANCETFISH,2012,No Data
1,SHORTSNOUTED LANCETFISH,2011,0.200000
1,SHORT-TAILED BLACK RAY,2015,No Data
1,SHORT-TAILED BLACK RAY,2014,4.950000
1,SHORT-TAILED BLACK RAY,2013,No Data
1,SHORT-TAILED BLACK RAY,2012,No Data
1,SHORT-TAILED BLACK RAY,2011,No Data
1,SICKLE POMFRET,2015,2.200000
1,SICKLE POMFRET,2014,2.900000
1,SICKLE POMFRET,2013,1.633333
1,SICKLE POMFRET,2012,No Data
1,SICKLE POMFRET,2011,No Data
1,SILKY SHARK,2015,36.700000
1,SILKY SHARK,2014,36.700000
1,SILKY SHARK,2013,29.580000
1,SILKY SHARK,2012,39.700000
1,SILKY SHARK,2011,34.318421
1,Silver biddy,2015,No Data
1,Silver biddy,2014,1.000000
1,Silver biddy,2013,No Data
1,Silver biddy,2012,No Data
1,Silver biddy,2011,No Data
1,SILVER-TIP SHARK,2015,No Data
1,SILVER-TIP SHARK,2014,No Data
1,SILVER-TIP SHARK,2013,No Data
1,SILVER-TIP SHARK,2012,15.566666
1,SILVER-TIP SHARK,2011,13.775000
1,Slender sunfish,2015,No Data
1,Slender sunfish,2014,No Data
1,Slender sunfish,2013,15.000000
1,Slender sunfish,2012,15.000000
1,Slender sunfish,2011,15.000000
1,SMOOTH HAMMERHEAD,2015,No Data
1,SMOOTH HAMMERHEAD,2014,No Data
1,SMOOTH HAMMERHEAD,2013,No Data
1,SMOOTH HAMMERHEAD,2012,75.600000
1,SMOOTH HAMMERHEAD,2011,No Data
1,SNAKE MACKEREL,2015,13.866666
1,SNAKE MACKEREL,2014,13.988461
1,SNAKE MACKEREL,2013,14.566666
1,SNAKE MACKEREL,2012,16.114285
1,SNAKE MACKEREL,2011,15.820833
1,THRESHER SHARK  (VULPINAS),2015,No Data
1,THRESHER SHARK  (VULPINAS),2014,1.600000
1,THRESHER SHARK  (VULPINAS),2013,1.600000
1,THRESHER SHARK  (VULPINAS),2012,No Data
1,THRESHER SHARK  (VULPINAS),2011,1.600000
1,TIGER SHARK,2015,No Data
1,TIGER SHARK,2014,60.700000
1,TIGER SHARK,2013,60.700000
1,TIGER SHARK,2012,60.700000
1,TIGER SHARK,2011,60.700000
1,UNSPECIFIED,2015,No Data
1,UNSPECIFIED,2014,14.000000
1,UNSPECIFIED,2013,14.000000
1,UNSPECIFIED,2012,14.000000
1,UNSPECIFIED,2011,14.000000
1,WAHOO,2015,12.744897
1,WAHOO,2014,12.861494
1,WAHOO,2013,11.809268
1,WAHOO,2012,11.984545
1,WAHOO,2011,12.320353
